大發雷霆	大	發雷霆	10450
大喊大叫	大	喊大叫	10170
大鍋飯	大	鍋飯	10145
大放異彩	大	放異彩	10145
大失所望	大	失所望	10140
大哥大	大	哥大	9999
大庭廣眾	大	庭廣眾	9760
大動脈	大	動脈	9725
大掃除	大	掃除	9675
大法官	大	法官	9640
大為	大	為	9350
大家閨秀	大	家閨秀	9350
大捷	大	捷	9330
大獲全勝	大	獲全勝	9165
大字報	大	字報	9070
大紅大紫	大	紅大紫	9065
大無畏	大	無畏	8990
大我	大	我	8845
大字	大	字	8835
大公無私	大	公無私	8830
大年初一	大	年初一	8830
大難	大	難	8800
大力士	大	力士	8595
大半天	大	半天	8350
大銀幕	大	銀幕	8290
大炮	大	炮	8150
大致上	大	致上	7875
大考	大	考	7700
大夢	大	夢	7635
大房	大	房	7620
大肚子	大	肚子	7600
大聲疾呼	大	聲疾呼	7565
大名	大	名	7529
大飽眼福	大	飽眼福	7510
大壽	大	壽	7235
大菜	大	菜	7180
大寒	大	寒	7145
大惑不解	大	惑不解	7120
大興土木	大	興土木	7055
大赦	大	赦	7005
大廈	大	廈	7004
大家族	大	家族	7000
大喜過望	大	喜過望	6935
大同	大	同	6906
大豆油	大	豆油	6825
大言不慚	大	言不慚	6825
大作	大	作	6666
大戶人家	大	戶人家	6605
大義	大	義	6545
大儒	大	儒	6540
大牙	大	牙	6475
大不如前	大	不如前	6410
大師傅	大	師傅	6350
大節	大	節	6345
大魚大肉	大	魚大肉	5940
大江東去	大	江東去	5935
大姊	大	姊	5930
大義凜然	大	義凜然	5905
大氣壓	大	氣壓	5765
大吵大鬧	大	吵大鬧	5705
大吉大利	大	吉大利	5595
大勢已去	大	勢已去	5565
大快朵頤	大	快朵頤	5370
大發脾氣	大	發脾氣	5240
大家風範	大	家風範	5090
大清早	大	清早	5055
大嘴巴	大	嘴巴	5025
大智若愚	大	智若愚	5025
大風大浪	大	風大浪	5015
大是大非	大	是大非	4995
大難不死	大	難不死	4960
大鼓	大	鼓	4920
大呼過癮	大	呼過癮	4915
大作家	大	作家	4870
大海撈針	大	海撈針	4790
大前提	大	前提	4775
大原則	大	原則	4690
大災難	大	災難	4655
大力水手	大	力水手	4625
大半輩子	大	半輩子	4600
大快人心	大	快人心	4480
大變	大	變	4444
大駕	大	駕	4405
大腹便便	大	腹便便	4350
大逆不道	大	逆不道	4325
大乘佛教	大	乘佛教	4285
大月	大	月	4280
大眾媒介	大	眾媒介	4240
大嗓門	大	嗓門	4220
大智	大	智	4118
大學問	大	學問	3965
大富大貴	大	富大貴	3920
大喇叭	大	喇叭	3885
大轉彎	大	轉彎	3815
大材小用	大	材小用	3815
大而化之	大	而化之	3720
大宛	大	宛	3625
大老遠	大	老遠	3540
大展身手	大	展身手	3495
大器晚成	大	器晚成	3485
大逃亡	大	逃亡	3475
大難臨頭	大	難臨頭	3425
大頭針	大	頭針	3400
大禍臨頭	大	禍臨頭	3250
大褂	大	褂	3180
大義滅親	大	義滅親	3155
大頭菜	大	頭菜	3120
大減價	大	減價	3105
